radius,outer,inner,clean_choice,sr_choice
0.025,10,13,HistGB,HistGB
0.025,10,14,HistGB,HistGB
0.025,11,0,HistGB,HistGB
0.025,11,1,HistGB,HistGB
0.025,11,2,HistGB,HistGB
0.025,11,3,HistGB,HistGB
0.025,11,4,HistGB,HistGB
0.025,11,5,HistGB,HistGB
0.025,11,6,HistGB,HistGB
0.025,11,7,HistGB,HistGB
0.025,11,8,HistGB,HistGB
0.025,11,9,HistGB,HistGB
0.025,11,10,HistGB,HistGB
0.025,11,11,HistGB,HistGB
0.025,11,12,HistGB,HistGB
0.025,11,13,HistGB,HistGB
0.025,11,14,HistGB,HistGB
0.025,12,0,HistGB,HistGB
0.025,12,1,HistGB,HistGB
0.025,12,2,HistGB,HistGB
0.025,12,3,HistGB,HistGB
0.025,12,4,HistGB,HistGB
0.025,12,5,HistGB,HistGB
0.025,12,6,HistGB,HistGB
0.025,12,7,HistGB,HistGB
0.025,12,8,HistGB,HistGB
0.025,12,9,HistGB,HistGB
0.025,12,10,HistGB,HistGB
0.025,12,11,HistGB,HistGB
0.025,12,12,HistGB,HistGB
0.025,12,13,HistGB,HistGB
0.025,12,14,HistGB,HistGB
0.025,13,0,HistGB,HistGB
0.025,13,1,HistGB,HistGB
0.025,13,2,HistGB,HistGB
0.025,13,3,HistGB,HistGB
0.025,13,4,HistGB,HistGB
0.025,13,5,HistGB,HistGB
0.025,13,6,HistGB,HistGB
0.025,13,7,HistGB,HistGB
0.025,13,8,HistGB,HistGB
0.025,13,9,HistGB,HistGB
0.025,13,10,HistGB,HistGB
0.025,13,11,HistGB,HistGB
0.025,13,12,HistGB,HistGB
0.025,13,13,HistGB,HistGB
0.025,13,14,HistGB,HistGB
0.025,14,0,HistGB,HistGB
0.025,14,1,HistGB,HistGB
0.025,14,2,HistGB,HistGB
0.025,14,3,HistGB,HistGB
0.025,14,4,HistGB,HistGB
0.025,14,5,HistGB,HistGB
0.025,14,6,HistGB,HistGB
0.025,14,7,HistGB,HistGB
0.025,14,8,HistGB,HistGB
0.025,14,9,HistGB,HistGB
0.025,14,10,HistGB,HistGB
0.025,14,11,HistGB,HistGB
0.025,14,12,HistGB,HistGB
0.025,14,13,HistGB,HistGB
0.025,14,14,HistGB,HistGB
0.025,15,0,HistGB,HistGB
0.025,15,1,HistGB,HistGB
0.025,15,2,HistGB,HistGB
0.025,15,3,HistGB,HistGB
0.025,15,4,HistGB,HistGB
0.025,15,5,HistGB,HistGB
0.025,15,6,HistGB,HistGB
0.025,15,7,HistGB,HistGB
0.025,15,8,HistGB,HistGB
0.025,15,9,HistGB,HistGB
0.025,15,10,HistGB,HistGB
0.025,15,11,HistGB,HistGB
0.025,15,12,HistGB,HistGB
0.025,15,13,HistGB,HistGB
0.025,15,14,HistGB,HistGB
0.025,16,0,HistGB,HistGB
0.025,16,1,HistGB,HistGB
0.025,16,2,HistGB,HistGB
0.025,16,3,HistGB,HistGB
0.025,16,4,HistGB,HistGB
0.025,16,5,HistGB,HistGB
0.025,16,6,HistGB,HistGB
0.025,16,7,HistGB,HistGB
0.025,16,8,HistGB,HistGB
0.025,16,9,HistGB,HistGB
0.025,16,10,HistGB,HistGB
0.025,16,11,HistGB,HistGB
0.025,16,12,HistGB,HistGB
0.025,16,13,HistGB,HistGB
0.025,16,14,HistGB,HistGB
0.025,17,0,HistGB,HistGB
0.025,17,1,HistGB,HistGB
0.025,17,2,HistGB,HistGB
0.025,17,3,HistGB,HistGB
0.025,17,4,HistGB,HistGB
0.025,17,5,HistGB,HistGB
0.025,17,6,HistGB,HistGB
0.025,17,7,HistGB,HistGB
0.025,17,8,HistGB,HistGB
0.025,17,9,HistGB,HistGB
0.025,17,10,HistGB,HistGB
0.025,17,11,HistGB,HistGB
0.025,17,12,HistGB,HistGB
0.025,17,13,HistGB,HistGB
0.025,17,14,HistGB,HistGB
0.025,18,0,HistGB,HistGB
0.025,18,1,HistGB,HistGB
0.025,18,2,HistGB,HistGB
0.025,18,3,HistGB,HistGB
0.025,18,4,HistGB,HistGB
0.025,18,5,HistGB,HistGB
0.025,18,6,HistGB,HistGB
0.025,18,7,HistGB,HistGB
0.025,18,8,HistGB,HistGB
0.025,18,9,HistGB,HistGB
0.025,18,10,HistGB,HistGB
0.025,18,11,HistGB,HistGB
0.025,18,12,HistGB,HistGB
0.025,18,13,HistGB,HistGB
0.025,18,14,HistGB,HistGB
0.025,19,0,HistGB,HistGB
0.025,19,1,HistGB,HistGB
0.025,19,2,HistGB,HistGB
0.025,19,3,HistGB,HistGB
0.025,19,4,HistGB,HistGB
0.025,19,5,HistGB,HistGB
0.025,19,6,HistGB,HistGB
0.025,19,7,HistGB,HistGB
0.025,19,8,HistGB,HistGB
0.025,19,9,HistGB,HistGB
0.025,19,10,HistGB,HistGB
0.025,19,11,HistGB,HistGB
0.025,19,12,HistGB,HistGB
0.025,19,13,HistGB,HistGB
0.025,19,14,HistGB,HistGB
0.025,20,0,HistGB,HistGB
0.025,20,1,HistGB,HistGB
0.025,20,2,HistGB,HistGB
0.025,20,3,HistGB,HistGB
0.025,20,4,HistGB,HistGB
0.025,20,5,HistGB,HistGB
0.025,20,6,HistGB,HistGB
0.025,20,7,HistGB,HistGB
0.025,20,8,HistGB,HistGB
0.025,20,9,HistGB,HistGB
0.025,20,10,HistGB,HistGB
0.025,20,11,HistGB,HistGB
0.025,20,12,HistGB,HistGB
0.025,20,13,HistGB,HistGB
0.025,20,14,HistGB,HistGB
0.025,21,0,HistGB,HistGB
0.025,21,1,HistGB,HistGB
0.025,21,2,HistGB,HistGB
0.025,21,3,HistGB,HistGB
0.025,21,4,HistGB,HistGB
0.025,21,5,HistGB,HistGB
0.025,21,6,HistGB,HistGB
0.025,21,7,HistGB,HistGB
0.025,21,8,HistGB,HistGB
0.025,21,9,HistGB,HistGB
0.025,21,10,HistGB,HistGB
0.025,21,11,HistGB,HistGB
0.025,21,12,HistGB,HistGB
0.025,21,13,HistGB,HistGB
0.025,21,14,HistGB,HistGB
0.025,22,0,HistGB,HistGB
0.025,22,1,HistGB,HistGB
0.025,22,2,HistGB,HistGB
0.025,22,3,HistGB,HistGB
0.025,22,4,HistGB,HistGB
0.025,22,5,HistGB,HistGB
0.025,22,6,HistGB,HistGB
0.025,22,7,HistGB,HistGB
0.025,22,8,HistGB,HistGB
