radius,outer,clean_final_choice,sr_final_choice,oracle_choice,clean_test_sr,sr_test_sr,oracle_test_sr,clean_regret,sr_regret,clean_oracle_match,sr_oracle_match,test_sr_OLS,test_sr_RidgeCV,test_sr_LassoCV,test_sr_KNN,test_sr_RandomForest,test_sr_HistGB,clean_vote_OLS,clean_vote_RidgeCV,clean_vote_LassoCV,clean_vote_KNN,clean_vote_RandomForest,clean_vote_HistGB,sr_vote_OLS,sr_vote_RidgeCV,sr_vote_LassoCV,sr_vote_KNN,sr_vote_RandomForest,sr_vote_HistGB
0.05,5,HistGB,HistGB,HistGB,15.92386335076428,15.92386335076428,15.92386335076428,0.0,0.0,1,1,21.499123637987736,21.499444864948316,21.49935905988905,18.223565544827512,16.740446619964352,15.92386335076428,0,0,0,0,0,15,0,0,0,0,0,15
0.05,6,HistGB,HistGB,HistGB,17.933604429715228,17.933604429715228,17.933604429715228,0.0,0.0,1,1,23.53422093822821,23.5333659012269,23.53441455935224,19.228168108405963,18.805670878750274,17.933604429715228,0,0,0,0,0,15,0,0,0,0,0,15
0.05,7,HistGB,HistGB,HistGB,14.873551718118756,14.873551718118756,14.873551718118756,0.0,0.0,1,1,19.932506079322025,19.93164493917063,19.932792791317784,16.701229038475773,15.561819873192821,14.873551718118756,0,0,0,0,0,15,0,0,0,0,0,15
0.05,8,HistGB,HistGB,HistGB,15.09884619741778,15.09884619741778,15.09884619741778,0.0,0.0,1,1,20.064603717952277,20.06462294285162,20.064946376755792,17.158206019167785,15.794819155550563,15.09884619741778,0,0,0,0,0,15,0,0,0,0,0,15
0.05,9,HistGB,HistGB,HistGB,15.765061332045013,15.765061332045013,15.765061332045013,0.0,0.0,1,1,21.43074602632581,21.43102256310453,21.430719370922414,18.502152277369753,16.55926868639677,15.765061332045013,0,0,0,0,0,15,0,0,0,0,0,15
0.05,10,HistGB,HistGB,HistGB,15.27249424756396,15.27249424756396,15.27249424756396,0.0,0.0,1,1,20.858365891446848,20.85845423016288,20.858383686366945,17.965885573863435,15.957212739552329,15.27249424756396,0,0,0,0,0,15,0,0,0,0,0,15
0.05,11,HistGB,HistGB,HistGB,14.601242284701458,14.601242284701458,14.601242284701458,0.0,0.0,1,1,20.283184446903835,20.283554043668513,20.283489498196285,17.432828370159246,15.242284018783087,14.601242284701458,0,0,0,0,0,15,0,0,0,0,0,15
0.05,12,HistGB,HistGB,HistGB,14.761672426401422,14.761672426401422,14.761672426401422,0.0,0.0,1,1,20.524593984779816,20.524436657561363,20.52476074221294,17.029587204831333,15.430950503623395,14.761672426401422,0,0,0,0,0,15,0,0,0,0,0,15
0.05,13,HistGB,HistGB,HistGB,15.574082331577673,15.574082331577673,15.574082331577673,0.0,0.0,1,1,21.248535246664662,21.24896527759748,21.246764296802553,18.592844757139485,16.306782602594193,15.574082331577673,0,0,0,0,0,15,0,0,0,0,0,15
0.05,14,HistGB,HistGB,HistGB,15.644274653649427,15.644274653649427,15.644274653649427,0.0,0.0,1,1,21.39089908497352,21.390744854120445,21.390478435611957,18.174586892933508,16.307966932618058,15.644274653649427,0,0,0,0,0,15,0,0,0,0,0,15
0.05,15,HistGB,HistGB,HistGB,15.589006005137533,15.589006005137533,15.589006005137533,0.0,0.0,1,1,20.780605395481665,20.780298286038814,20.78077390140938,17.491299874249645,16.273243633663473,15.589006005137533,0,0,0,0,0,15,0,0,0,0,0,15
0.05,16,HistGB,HistGB,HistGB,16.26697494057908,16.26697494057908,16.26697494057908,0.0,0.0,1,1,21.959775007585336,21.959347653293367,21.95973728874352,18.273647563005788,16.945755533210498,16.26697494057908,0,0,0,0,0,15,0,0,0,0,1,14
0.05,17,HistGB,HistGB,HistGB,17.408309587471944,17.408309587471944,17.408309587471944,0.0,0.0,1,1,22.292430780358643,22.29190852093001,22.29144440774281,19.43468948026514,18.413601965709443,17.408309587471944,0,0,0,0,0,15,0,0,0,0,0,15
0.05,18,HistGB,HistGB,HistGB,15.74969969277622,15.74969969277622,15.74969969277622,0.0,0.0,1,1,20.62014739542148,20.619846425755465,20.620449778450325,17.78438761587748,16.62223004187711,15.74969969277622,0,0,0,0,0,15,0,0,0,0,0,15
