selector,r_val,r_eval,outer_repeats,regret_mean,regret_sd,regret_mcse,oracle_match_rate,selected_test_sr_mean,oracle_test_sr_mean,selected_model_mode,selected_model_entropy,oracle_match_mcse,regret_ci95_halfwidth
SRCV,0.17,0.24,25,0.33463141918599576,0.3527097877494511,0.07054195754989022,0.2,21.541274510418184,21.20664309123219,HistGB,0.167944147734173,0.08,0.13826223679778482
SRCV,0.17,0.32,25,1.515619436095883,0.4252470158295047,0.08504940316590094,0.0,24.982922103730075,23.467302667634193,HistGB,0.167944147734173,0.0,0.16669683020516585
SRCV,0.17,0.4,25,2.837775313165609,0.4487437278033689,0.08974874556067378,0.0,29.00305027039011,26.165274957224497,HistGB,0.167944147734173,0.0,0.1759075412989206
SRCV,0.17,0.5,25,4.733476581764033,0.5073949647283175,0.1014789929456635,0.0,35.014031302605666,30.280554720841632,HistGB,0.167944147734173,0.0,0.19889882617350044
SRCV,0.18,0.0,25,0.40469642507976544,1.4025513557322942,0.2805102711464588,0.92,13.130365914135949,12.725669489056184,HistGB,0.2787693717685874,0.05425863986500213,0.5498001314470593
SRCV,0.18,0.025,25,0.24291854318344136,0.8423457616459147,0.16846915232918294,0.92,15.052297549894304,14.809379006710863,HistGB,0.2787693717685874,0.05425863986500213,0.33019953856519857
SRCV,0.18,0.1,25,0.10974623651572898,0.3850601822409622,0.07701203644819245,0.92,17.2284311249824,17.118684888466667,HistGB,0.2787693717685874,0.05425863986500213,0.1509435914384572
SRCV,0.18,0.15,25,0.07669668081715769,0.23685012475278772,0.047370024950557546,0.8,18.513353353132693,18.436656672315536,HistGB,0.2787693717685874,0.08,0.09284524890309279
SRCV,0.18,0.19,25,0.049500080507933,0.14316581214170385,0.02863316242834077,0.8,19.787012247541234,19.7375121670333,HistGB,0.2787693717685874,0.08,0.056120998359547904
SRCV,0.18,0.2,25,0.06493411801550622,0.16897384660769696,0.033794769321539395,0.72,20.103881322994386,20.03894720497888,HistGB,0.2787693717685874,0.0897997772825746,0.06623774787021722
SRCV,0.18,0.21,25,0.10246229270428614,0.20725741673854436,0.04145148334770887,0.56,20.433037154752363,20.330574862048078,HistGB,0.2787693717685874,0.09927738916792685,0.08124490736150938
SRCV,0.18,0.24,25,0.2941890663730231,0.3465896128418612,0.06931792256837224,0.28,21.50083215760521,21.20664309123219,HistGB,0.2787693717685874,0.0897997772825746,0.1358631282340096
SRCV,0.18,0.32,25,1.3773973009719405,0.5815750953554114,0.11631501907108228,0.08,24.844699968606133,23.467302667634193,HistGB,0.2787693717685874,0.054258639865002144,0.22797743737932127
SRCV,0.18,0.4,25,2.589863440680614,0.8923748082391728,0.17847496164783455,0.08,28.75513839790511,26.165274957224497,HistGB,0.2787693717685874,0.054258639865002144,0.34981092482975573
SRCV,0.18,0.5,25,4.317372256030065,1.3799144118433093,0.27598288236866186,0.08,34.5979269768717,30.280554720841632,HistGB,0.2787693717685874,0.054258639865002144,0.5409264494425773
SRCV,0.19,0.0,25,0.3132275057002426,1.100425063079129,0.2200850126158258,0.92,13.038896994756426,12.725669489056184,HistGB,0.33422114621338295,0.05425863986500213,0.4313666247270186
SRCV,0.19,0.025,25,0.16767538281417046,0.5973485890523446,0.11946971781046892,0.92,14.977054389525033,14.809379006710863,HistGB,0.33422114621338295,0.05425863986500213,0.23416064690851907
SRCV,0.19,0.1,25,0.06700540581572526,0.24672964130450634,0.04934592826090127,0.92,17.185690294282395,17.118684888466667,HistGB,0.33422114621338295,0.05425863986500213,0.09671801939136648
SRCV,0.19,0.15,25,0.041723482695477404,0.1136340947069803,0.02272681894139606,0.8,18.47838015501101,18.436656672315536,HistGB,0.33422114621338295,0.08,0.04454456512513628
SRCV,0.19,0.19,25,0.044419009879423044,0.1301220683481181,0.02602441366962362,0.76,19.781931176912725,19.7375121670333,HistGB,0.33422114621338295,0.0854166260162505,0.0510078507924623
SRCV,0.19,0.2,25,0.05079607723386616,0.15642377149695952,0.031284754299391905,0.72,20.089743282212748,20.03894720497888,HistGB,0.33422114621338295,0.0897997772825746,0.061318118426808135
SRCV,0.19,0.21,25,0.09559414920156954,0.2037358535500393,0.04074717071000786,0.6,20.426169011249648,20.330574862048078,HistGB,0.33422114621338295,0.09797958971132711,0.0798644545916154
SRCV,0.19,0.24,25,0.29695806349435544,0.33539917994502727,0.06707983598900545,0.24,21.503601154726542,21.20664309123219,HistGB,0.33422114621338295,0.0854166260162505,0.13147647853845068
SRCV,0.19,0.32,25,1.4190617362327422,0.4929272956307442,0.09858545912614884,0.04,24.88636440386693,23.467302667634193,HistGB,0.33422114621338295,0.039191835884530846,0.1932274998872517
SRCV,0.19,0.4,25,2.7014878766267363,0.7107612875291986,0.14215225750583974,0.04,28.866762833851237,26.165274957224497,HistGB,0.33422114621338295,0.039191835884530846,0.2786184247114459
SRCV,0.19,0.5,25,4.520460065439781,1.0573709667107456,0.21147419334214912,0.04,34.801014786281414,30.280554720841632,HistGB,0.33422114621338295,0.039191835884530846,0.41448941895061225
