selector,r_eval,r_val_left,r_val_right,outer_repeats,same_selection_rate,same_selection_mcse
SRCV,0.025,0.0,0.025,25,1.0,0.0
SRCV,0.1,0.0,0.025,25,1.0,0.0
SRCV,0.15,0.0,0.025,25,1.0,0.0
SRCV,0.19,0.0,0.025,25,1.0,0.0
SRCV,0.2,0.0,0.025,25,1.0,0.0
SRCV,0.21,0.0,0.025,25,1.0,0.0
SRCV,0.24,0.0,0.025,25,1.0,0.0
SRCV,0.32,0.0,0.025,25,1.0,0.0
SRCV,0.4,0.0,0.025,25,1.0,0.0
SRCV,0.5,0.0,0.025,25,1.0,0.0
SRCV,0.0,0.025,0.05,25,1.0,0.0
SRCV,0.025,0.025,0.05,25,1.0,0.0
SRCV,0.1,0.025,0.05,25,1.0,0.0
SRCV,0.15,0.025,0.05,25,1.0,0.0
SRCV,0.19,0.025,0.05,25,1.0,0.0
SRCV,0.2,0.025,0.05,25,1.0,0.0
SRCV,0.21,0.025,0.05,25,1.0,0.0
SRCV,0.24,0.025,0.05,25,1.0,0.0
SRCV,0.32,0.025,0.05,25,1.0,0.0
SRCV,0.4,0.025,0.05,25,1.0,0.0
SRCV,0.5,0.025,0.05,25,1.0,0.0
SRCV,0.0,0.05,0.075,25,1.0,0.0
SRCV,0.025,0.05,0.075,25,1.0,0.0
SRCV,0.1,0.05,0.075,25,1.0,0.0
SRCV,0.15,0.05,0.075,25,1.0,0.0
SRCV,0.19,0.05,0.075,25,1.0,0.0
SRCV,0.2,0.05,0.075,25,1.0,0.0
SRCV,0.21,0.05,0.075,25,1.0,0.0
SRCV,0.24,0.05,0.075,25,1.0,0.0
SRCV,0.32,0.05,0.075,25,1.0,0.0
SRCV,0.4,0.05,0.075,25,1.0,0.0
SRCV,0.5,0.05,0.075,25,1.0,0.0
SRCV,0.0,0.075,0.1,25,1.0,0.0
SRCV,0.025,0.075,0.1,25,1.0,0.0
SRCV,0.1,0.075,0.1,25,1.0,0.0
SRCV,0.15,0.075,0.1,25,1.0,0.0
SRCV,0.19,0.075,0.1,25,1.0,0.0
SRCV,0.2,0.075,0.1,25,1.0,0.0
SRCV,0.21,0.075,0.1,25,1.0,0.0
SRCV,0.24,0.075,0.1,25,1.0,0.0
SRCV,0.32,0.075,0.1,25,1.0,0.0
SRCV,0.4,0.075,0.1,25,1.0,0.0
SRCV,0.5,0.075,0.1,25,1.0,0.0
SRCV,0.0,0.1,0.125,25,1.0,0.0
SRCV,0.025,0.1,0.125,25,1.0,0.0
SRCV,0.1,0.1,0.125,25,1.0,0.0
SRCV,0.15,0.1,0.125,25,1.0,0.0
SRCV,0.19,0.1,0.125,25,1.0,0.0
SRCV,0.2,0.1,0.125,25,1.0,0.0
SRCV,0.21,0.1,0.125,25,1.0,0.0
SRCV,0.24,0.1,0.125,25,1.0,0.0
SRCV,0.32,0.1,0.125,25,1.0,0.0
SRCV,0.4,0.1,0.125,25,1.0,0.0
SRCV,0.5,0.1,0.125,25,1.0,0.0
SRCV,0.0,0.125,0.15,25,1.0,0.0
SRCV,0.025,0.125,0.15,25,1.0,0.0
SRCV,0.1,0.125,0.15,25,1.0,0.0
SRCV,0.15,0.125,0.15,25,1.0,0.0
SRCV,0.19,0.125,0.15,25,1.0,0.0
SRCV,0.2,0.125,0.15,25,1.0,0.0
SRCV,0.21,0.125,0.15,25,1.0,0.0
SRCV,0.24,0.125,0.15,25,1.0,0.0
SRCV,0.32,0.125,0.15,25,1.0,0.0
SRCV,0.4,0.125,0.15,25,1.0,0.0
SRCV,0.5,0.125,0.15,25,1.0,0.0
SRCV,0.0,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.025,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.1,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.15,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.19,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.2,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.21,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.24,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.32,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.4,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.5,0.15,0.17,25,0.96,0.039191835884530866
SRCV,0.0,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.025,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.1,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.15,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.19,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.2,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.21,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.24,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.32,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.4,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.5,0.17,0.18,25,0.88,0.06499230723708768
SRCV,0.0,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.025,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.1,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.15,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.19,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.2,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.21,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.24,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.32,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.4,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.5,0.18,0.19,25,0.84,0.07332121111929345
SRCV,0.0,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.025,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.1,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.15,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.19,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.2,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.21,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.24,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.32,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.4,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.5,0.19,0.195,25,0.84,0.07332121111929345
SRCV,0.0,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.025,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.1,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.15,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.19,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.2,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.21,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.24,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.32,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.4,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.5,0.195,0.2,25,0.72,0.0897997772825746
SRCV,0.0,0.2,0.205,25,0.64,0.096
SRCV,0.025,0.2,0.205,25,0.64,0.096
SRCV,0.1,0.2,0.205,25,0.64,0.096
SRCV,0.15,0.2,0.205,25,0.64,0.096
SRCV,0.19,0.2,0.205,25,0.64,0.096
SRCV,0.2,0.2,0.205,25,0.64,0.096
SRCV,0.21,0.2,0.205,25,0.64,0.096
SRCV,0.24,0.2,0.205,25,0.64,0.096
SRCV,0.32,0.2,0.205,25,0.64,0.096
SRCV,0.4,0.2,0.205,25,0.64,0.096
SRCV,0.5,0.2,0.205,25,0.64,0.096
SRCV,0.0,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.025,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.1,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.15,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.19,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.2,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.21,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.24,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.32,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.4,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.5,0.205,0.21,25,0.6,0.09797958971132711
SRCV,0.0,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.025,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.1,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.15,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.19,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.2,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.21,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.24,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.32,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.4,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.5,0.21,0.22,25,0.44,0.09927738916792686
SRCV,0.0,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.025,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.1,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.15,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.19,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.2,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.21,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.24,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.32,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.4,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.5,0.22,0.24,25,0.76,0.0854166260162505
SRCV,0.0,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.025,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.1,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.15,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.19,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.2,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.21,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.24,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.32,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.4,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.5,0.24,0.27,25,0.96,0.039191835884530866
SRCV,0.0,0.27,0.32,25,1.0,0.0
SRCV,0.025,0.27,0.32,25,1.0,0.0
SRCV,0.1,0.27,0.32,25,1.0,0.0
SRCV,0.15,0.27,0.32,25,1.0,0.0
SRCV,0.19,0.27,0.32,25,1.0,0.0
SRCV,0.2,0.27,0.32,25,1.0,0.0
SRCV,0.21,0.27,0.32,25,1.0,0.0
SRCV,0.24,0.27,0.32,25,1.0,0.0
SRCV,0.32,0.27,0.32,25,1.0,0.0
SRCV,0.4,0.27,0.32,25,1.0,0.0
SRCV,0.5,0.27,0.32,25,1.0,0.0
SRCV,0.0,0.32,0.4,25,1.0,0.0
SRCV,0.025,0.32,0.4,25,1.0,0.0
SRCV,0.1,0.32,0.4,25,1.0,0.0
SRCV,0.15,0.32,0.4,25,1.0,0.0
SRCV,0.19,0.32,0.4,25,1.0,0.0
SRCV,0.2,0.32,0.4,25,1.0,0.0
SRCV,0.21,0.32,0.4,25,1.0,0.0
SRCV,0.24,0.32,0.4,25,1.0,0.0
SRCV,0.32,0.32,0.4,25,1.0,0.0
SRCV,0.4,0.32,0.4,25,1.0,0.0
SRCV,0.5,0.32,0.4,25,1.0,0.0
SRCV,0.0,0.4,0.5,25,1.0,0.0
SRCV,0.025,0.4,0.5,25,1.0,0.0
SRCV,0.1,0.4,0.5,25,1.0,0.0
SRCV,0.15,0.4,0.5,25,1.0,0.0
SRCV,0.19,0.4,0.5,25,1.0,0.0
SRCV,0.2,0.4,0.5,25,1.0,0.0
SRCV,0.21,0.4,0.5,25,1.0,0.0
SRCV,0.24,0.4,0.5,25,1.0,0.0
SRCV,0.32,0.4,0.5,25,1.0,0.0
SRCV,0.4,0.4,0.5,25,1.0,0.0
SRCV,0.5,0.4,0.5,25,1.0,0.0
